# ts: 1780645794.4138129
基金代码,基金简称,基金类型,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
018817,景顺长城中小创精选股票C,股票型,2026-06-04,3.984,4.209,0.18,-1.29,13.34,29.1,52.82,101.62,94.53,nan,49.89,69.83,0.00%
000409,鹏华环保产业股票,股票型,2026-06-04,5.612,5.612,-2.08,-4.12,2.18,23.89,32.55,99.93,76.53,45.92,30.18,461.2,0.15%
014299,宏利先进制造股票A,股票型,2026-06-04,1.5735,1.5735,3.09,-2.1,20.41,40.6,46.33,98.88,123.73,84.06,43.57,57.35,0.15%
014300,宏利先进制造股票C,股票型,2026-06-04,1.552,1.552,3.09,-2.11,20.38,40.5,46.11,98.16,122.25,82.29,43.39,55.2,0.00%
001039,嘉实先进制造股票,股票型,2026-06-04,2.956,2.956,1.58,-1.73,9.6,25.73,45.54,97.33,114.2,72.76,39.96,195.6,0.15%
008085,海富通先进制造股票A,股票型,2026-06-04,2.0577,2.0577,0.63,-2.44,14.36,26.12,38.17,96.18,132.43,54.68,27.3,105.77,0.15%
011269,中银证券优势制造股票A,股票型,2026-06-04,1.73,1.73,2.08,-0.13,14.51,34.0,41.83,96.12,128.87,56.83,31.51,73.0,0.15%
010495,创金合信创新驱动股票A,股票型,2026-06-04,1.2626,1.2626,2.78,1.15,24.32,28.52,39.88,96.09,80.4,49.08,35.92,26.26,0.15%
008934,大成科技消费股票A,股票型,2026-06-04,1.4142,1.4142,1.15,-0.75,13.26,30.55,43.3,95.98,94.07,51.62,38.93,41.62,0.15%
013339,创金合信芯片产业股票发起A,股票型,2026-06-04,1.8461,1.8461,1.41,-2.51,17.65,34.39,46.9,95.87,147.4,80.34,44.51,84.61,0.15%
007133,嘉实长青竞争优势股票A,股票型,2026-06-04,1.5209,1.5209,1.22,-0.39,17.51,24.38,55.91,95.54,73.05,19.66,46.32,52.09,0.15%
008084,海富通先进制造股票C,股票型,2026-06-04,2.0051,2.0051,0.62,-2.45,14.32,25.99,37.89,95.39,130.55,52.8,27.08,100.51,0.00%
004450,嘉实前沿科技沪港深股票A,股票型,2026-06-04,3.5884,3.5884,3.21,-0.16,24.45,45.57,60.38,95.37,171.11,126.67,55.71,258.8,0.15%
011270,中银证券优势制造股票C,股票型,2026-06-04,1.6953,1.6953,2.08,-0.15,14.46,33.87,41.53,95.33,126.95,54.85,31.28,69.53,0.00%
008314,摩根慧选成长股票A,股票型,2026-06-04,2.3356,2.3356,0.14,1.83,9.42,25.25,31.52,95.3,113.2,107.65,27.41,133.56,0.15%
013340,创金合信芯片产业股票发起C,股票型,2026-06-04,1.8033,1.8033,1.41,-2.52,17.59,34.21,46.54,94.91,144.95,77.61,44.19,80.33,0.00%
007134,嘉实长青竞争优势股票C,股票型,2026-06-04,1.4648,1.4648,1.22,-0.39,17.45,24.23,55.52,94.55,71.32,17.87,46.01,46.48,0.00%
010496,创金合信创新驱动股票C,股票型,2026-06-04,1.209,1.209,2.78,1.13,24.22,28.26,39.33,94.5,77.53,45.54,35.46,20.9,0.00%
