板块代码,板块名称,交易日期,融资余额,融资买入额,融资偿还额,融资净买入,融券余额,融券卖出量,融券偿还量,融券净卖出,板块类型
1195,2025中报预减,2026-01-27 00:00:00,61925791908,6062664714,6260012937,-197348223,245760338.35,1249763,2227953,-7081092.5754,财富通概念
1196,2025中报扭亏,2026-01-27 00:00:00,61464063515,7654755442,7980954311,-326198869,189869635.0,1503900,1811200,-2874935.88,财富通概念
1160,柔性屏(折叠屏),2026-01-27 00:00:00,60172634591,7027933396,6932932688,95000708,199764036.7,785800,596315,-10204119.082,财富通概念
1031,光伏设备,2026-01-27 00:00:00,59734689658,10630062583,10021475802,608586781,195821199.19,1621547,584218,4761841.3213,财富通行业
667,国家安防,2026-01-27 00:00:00,59655936399,4500725570,4810151362,-309425792,169110322.94,495100,430400,3502051.37,财富通概念
604,参股保险,2026-01-27 00:00:00,59567097875,4682076997,4931746692,-249669695,306132104.93,2205600,3641700,-20962325.0,财富通概念
1163,可控核聚变,2026-01-27 00:00:00,58503366986,6354648461,7292312502,-937664041,270720455.29,743677,1555546,-2131960.0613,财富通概念
910,专用设备,2026-01-27 00:00:00,58226093533,6101069248,6521287555,-420218307,223357746.15,494815,616463,1890006.4617,财富通行业
623,海洋经济,2026-01-27 00:00:00,57995851604,5756911778,6453504349,-696592571,182955837.29,817600,1125301,-7108984.8076,财富通概念
852,冷链物流,2026-01-27 00:00:00,57948495140,4210156878,4194838403,15318475,132186478.62,999000,944889,882225.5064,财富通概念
721,PPP模式,2026-01-27 00:00:00,57748062635,4425296693,4291819176,133477517,158061711.24,2288379,2939400,-9265479.524,财富通概念
1181,并购重组概念,2026-01-27 00:00:00,57592523614,4414357199,4206994375,207362824,130626480.28,359218,419600,-4204350.5242,财富通概念
960,无线充电,2026-01-27 00:00:00,56800444621,4706294842,4637921776,68373066,238911939.77,643328,336010,18200945.3208,财富通概念
1150,新型工业化,2026-01-27 00:00:00,55736898853,5869852653,6162378654,-292526001,174903075.91,353873,370530,-280158.0136,财富通概念
158,湖南板块,2026-01-27 00:00:00,55481557691,5568271670,5921994618,-353722948,191976109.65,667100,1020000,-5999380.9986,财富通地域
1164,AIPC,2026-01-27 00:00:00,55421771420,8088457869,7824138059,264319810,231882271.51,747543,518808,-2657878.3473,财富通概念
825,新零售,2026-01-27 00:00:00,54464646961,4045470776,3833639848,211830928,305226920.51,1111200,362600,9693424.74,财富通概念
883,数字货币,2026-01-27 00:00:00,54140256850,3909569166,3911315031,-1745865,125755296.75,305400,662276,-3825229.1552,财富通概念
1153,多模态AI,2026-01-27 00:00:00,53701034189,5608154284,5698415209,-90260925,158971619.5,841288,620366,-847305.673,财富通概念
884,光刻机(胶),2026-01-27 00:00:00,53587850645,5638517510,5959300614,-320783104,207432470.84,241610,410543,-2710409.6561,财富通概念
1064,东数西算,2026-01-27 00:00:00,53134978587,6795909795,6575557991,220351804,132446784.07,564600,497730,2276544.872,财富通概念
966,碳交易,2026-01-27 00:00:00,53012197837,4335263733,4668803211,-333539478,208884822.51,1527769,2120438,-4495129.8994,财富通概念
597,水利建设,2026-01-27 00:00:00,52229845887,5549873313,5611012136,-61138823,160293591.87,1891700,2087172,-1992634.5116,财富通概念
1088,F5G概念,2026-01-27 00:00:00,52093845124,6574004801,6863186306,-289181505,157992675.7,231050,347800,47072.123,财富通概念
1029,汽车整车,2026-01-27 00:00:00,52092720101,1749984554,1705858173,44126381,141572347.0,596500,380300,19698075.68,财富通行业
615,中药概念,2026-01-27 00:00:00,51408885404,3198007198,2850123461,347883737,201274856.04,1007600,769518,2530545.0196,财富通概念
465,化学制药,2026-01-27 00:00:00,50434363324,3275465693,3217782832,57682861,168902021.72,451855,284715,1489610.554,财富通行业
428,电力行业,2026-01-27 00:00:00,50284895687,3444228052,3188351250,255876802,207350261.62,1055700,1834950,-3600803.93,财富通行业
556,移动支付,2026-01-27 00:00:00,50236072237,4351505486,4440839344,-89333858,156113502.02,548400,935872,-5269012.1016,财富通概念
1048,IGBT概念,2026-01-27 00:00:00,50063419496,4927061888,5111727313,-184665425,172898626.96,671428,1348766,9320566.3822,财富通概念
592,铁路基建,2026-01-27 00:00:00,49664334713,4470009919,4241734616,228275303,140022231.61,2044967,2495100,-9279210.1804,财富通概念
601,海工装备,2026-01-27 00:00:00,49194315719,6114928157,6728574762,-613646605,164635870.56,1079600,1300251,-11467333.7876,财富通概念
