date,code,close,open,high,low,volume
2021-12-15,sh000300,5005.899,5036.284,5060.368,5003.778,15052975200.0
2021-12-16,sh000300,5034.732,5006.611,5034.732,4987.225,14405386700.0
2021-12-17,sh000300,4954.76,5021.339,5022.107,4954.759,14900539900.0
2021-12-20,sh000300,4880.418,4934.966,4971.673,4872.685,16967569000.0
2021-12-21,sh000300,4913.485,4876.514,4917.799,4872.949,14333989800.0
2021-12-22,sh000300,4914.454,4924.577,4936.673,4903.165,13325674000.0
2021-12-23,sh000300,4948.739,4924.291,4948.739,4906.747,13955540600.0
2021-12-24,sh000300,4921.345,4953.062,4964.906,4905.979,14267332300.0
2021-12-27,sh000300,4919.324,4918.146,4939.689,4894.16,12410095200.0
2021-12-28,sh000300,4955.964,4923.692,4959.145,4913.598,13045775700.0
2021-12-29,sh000300,4883.48,4958.646,4958.646,4883.48,11358700200.0
2021-12-30,sh000300,4921.511,4882.156,4940.178,4878.648,12161717800.0
2021-12-31,sh000300,4940.373,4937.463,4950.364,4923.139,12131373700.0
2022-01-04,sh000300,4917.765,4957.984,4961.453,4874.534,15153477600.0
2022-01-05,sh000300,4868.12,4907.935,4916.282,4851.984,17881610000.0
2022-01-06,sh000300,4818.232,4842.156,4857.56,4786.433,15766582600.0
2022-01-07,sh000300,4822.369,4824.318,4856.652,4818.193,18713941300.0
2022-01-10,sh000300,4844.045,4812.23,4844.393,4780.819,15621169600.0
2022-01-11,sh000300,4797.774,4840.009,4850.879,4791.885,14692800400.0
2022-01-12,sh000300,4845.579,4818.89,4852.731,4810.919,14320020400.0
2022-01-13,sh000300,4765.919,4853.031,4853.063,4765.242,14251965300.0
2022-01-14,sh000300,4726.732,4743.912,4764.052,4723.943,14686312600.0
2022-01-17,sh000300,4767.276,4728.76,4775.239,4726.708,11529569100.0
2022-01-18,sh000300,4813.347,4766.781,4826.3,4747.92,15087080200.0
2022-01-19,sh000300,4780.378,4815.811,4828.752,4755.93,13392736000.0
2022-01-20,sh000300,4823.509,4778.262,4845.005,4777.568,16497131500.0
2022-01-21,sh000300,4779.314,4808.773,4818.305,4762.564,13895258500.0
2022-01-24,sh000300,4786.738,4753.941,4801.098,4746.448,11446388000.0
2022-01-25,sh000300,4678.451,4761.95,4781.391,4678.247,13366758600.0
2022-01-26,sh000300,4712.311,4697.099,4718.995,4648.128,10707084200.0
2022-01-27,sh000300,4619.877,4708.099,4708.436,4616.027,12126380400.0
2022-01-28,sh000300,4563.772,4641.814,4660.519,4559.833,12648011200.0
