trade_date,stock_count,gain_k,gain_top5_amount,gain_share_pct,loss_k,loss_top5_amount,loss_share_pct
20240924,5295,265,154365697.86299998,15.978000112065596,265,87118879.00999999,9.017453215676197
20240925,5298,265,121897968.32299998,10.581398910838155,265,95361496.169,8.277890481527923
20240926,5299,265,194032536.105,16.778159012061405,265,86263547.556,7.459282586791859
20240927,5299,265,242900071.432,16.805052363888407,265,125836634.06800002,8.70601318616826
20240930,5296,265,166364493.866,6.41090275413622,265,257559254.643,9.92511861499754
20241008,5292,265,134423348.103,3.881258051228912,265,342344208.119,9.884638589981686
20241009,5292,265,570756107.849,19.34024338503328,265,101652391.602,3.4445220422827534
20241010,5293,265,182831757.597,8.509965348195404,265,396585895.272,18.459223226343635
20241011,5294,265,244556701.578,15.507379604880509,265,117976362.794,7.4809000548535325
20241014,5295,265,234051514.777,14.348134350531131,265,158102820.028,9.692227393276882
20241015,5296,265,238739133.718,14.59499495207294,265,188433146.21500003,11.519606253827144
20241016,5299,265,181937562.428,13.235070355275877,265,220348854.983,16.029304556383714
20241017,5302,266,234238239.255,15.614758920767468,266,125627249.857,8.374547326837464
20241018,5301,266,332110275.741,15.770110576332824,266,137180444.76,6.513953167961688
20241021,5301,266,179662946.598,8.13721767558589,266,206771986.39600003,9.365028762899442
20241022,5300,265,210217809.177,10.81859229719928,265,174196848.914,8.96481937108675
20241023,5297,265,231555046.328,11.87591214115401,265,290239957.988,14.885722836008512
20241024,5299,265,170207030.973,10.980868083548224,265,173680171.95,11.204936987670362
20241025,5299,265,205871572.439,11.324171699158851,265,156883358.37300003,8.629525999675955
20241028,5296,265,201286122.979,10.6502713608961,265,149817231.59,7.926995400165676
20241029,5298,265,205076837.25,9.789212148799116,265,127243739.997,6.073898847575817
20241030,5296,265,319822501.903,17.035878130250286,265,143269963.417,7.6315131736343105
20241031,5300,265,296977363.78000003,13.222532065382303,265,137880304.625,6.138941789648688
20241101,5299,265,286776698.12,12.759934231109767,265,188539963.512,8.38895750638108
20241104,5299,265,206884079.539,12.104941621136458,265,207169468.907,12.121639965671385
20241105,5302,266,331760727.937,14.223649153672072,266,196092868.954,8.407131811177903
20241106,5303,266,250672158.986,9.625948847217144,266,342387110.675,13.147853461812227
20241107,5303,266,338354692.763,13.29677845068728,266,301152741.33299994,11.834803438434598
20241108,5305,266,289351176.864,10.678981781515963,266,254545142.612,9.394407757341076
20241111,5301,266,268459650.353,10.622508845887806,266,184247236.922,7.290361517869943
20241112,5302,266,262908854.623,10.232016678870217,266,201441637.533,7.839805159899201
20241113,5302,266,270864510.994,13.36707064287617,266,206273435.184,10.179523222643011
20241114,5303,266,193563106.014,10.41979720442012,266,241395440.554,12.994684722936851
20241115,5305,266,169403947.746,9.153849233931622,266,281343554.31500006,15.202576524364222
20241118,5303,266,184352517.321,10.330678263676209,266,191405214.934,10.725894727165208
20241119,5306,266,202126121.375,12.74033953488648,266,124305760.871,7.835195119094716
20241120,5308,266,201652673.201,12.303181283237375,266,149649543.853,9.130379665941916
20241121,5308,266,169882188.10000002,10.330734085824728,266,154142141.776,9.37356350254916
20241122,5310,266,215036264.188,11.813221099264544,266,147765986.63300002,8.117664607121696
20241125,5309,266,183635394.067,12.1452538939102,266,188980536.131,12.498770207016012
20241126,5310,266,133584595.612,10.073590003849496,266,188186157.61,14.191083840752732
20241127,5309,266,204261767.171,13.822739064402173,266,128157111.82099998,8.672608391104724
20241128,5307,266,155745116.518,10.27405313624682,266,219140524.762,14.456064151774484
20241129,5313,266,234201368.824,13.490551414629667,266,141543764.876,8.153254812592078
20241202,5311,266,180780230.541,9.96813546605813,266,174737931.222,9.634965970931267
20241203,5311,266,187386863.882,10.754462362894737,266,170034088.60799998,9.7585560079353
20241204,5311,266,241432210.876,14.321585565086876,266,146054869.416,8.663870085724202
20241205,5315,266,235638623.54400003,15.540960328010083,266,161232408.34100002,10.633683154023013
20241206,5313,266,208388420.007,11.539776442913396,266,150400175.965,8.328602940377571
20241209,5311,266,191772128.23,11.628592980446015,266,88705053.24200001,5.378857548177566
20241210,5314,266,240929790.286,10.8848789595584,266,205070400.361,9.264800685161983
20241211,5315,266,220557912.227,12.32885895462707,266,175566723.518,9.813918483013522
20241212,5316,266,228570839.545,12.189054202508055,266,154503093.027,8.23922499961104
20241213,5316,266,255937466.089,12.32582915405855,266,207788733.771,10.007008632760623
20241216,5320,266,176910355.695,10.369945676212955,266,195358471.356,11.45131797056797
20241217,5317,266,255913158.821,16.887313901370156,266,152996760.8,10.096019827294745
20241218,5319,266,215635048.226,15.775362255691212,266,103623282.369,7.580840085798508
20241219,5318,266,230948717.419,15.865343496110244,266,162979274.444,11.196088035032128
20241220,5322,267,203847929.727,13.366431923442166,267,136000557.997,8.917638763619351
20241223,5320,266,222741765.127,14.491097444958289,266,108591369.934,7.064719642936692
